"Номер заказа";"Номер отправления";"Принят в обработку";"Дата отгрузки";"Дата отгрузки без просрочки";"Статус";"Дата доставки";"Фактическая дата передачи в доставку";"Дата отмены";"Сумма отправления";"Код валюты отправления";"Название товара";"Цвет товара";"Размер товара";"SKU";"Артикул";"Ваша цена";"Код валюты товара";"Оплачено покупателем";"Код валюты покупателя";"Количество";"Стоимость доставки";"Связанные отправления";"Выкуп товара";"Цена товара до скидок";"Скидка %";"Скидка руб";"Акции";"Подъем на этаж"
"0115839324-0022";"0115839324-0022-1";"2026-03-18 10:42:40";"2026-03-18 15:00:00";"2026-03-19 17:59:00";"Доставлен";"2026-03-22 08:19:34";"2026-03-18 18:37:38";;"168.00";"RUB";"Hyundai/Kia Клипса крепежная 86825-26000, 5 шт.";;;"865915479";"8682526000=HYN[5]";"168.00";"RUB";"131.43";"RUB";"1";;;;"268.00";"37%";"100.00";"Системная виртуальная скидка селлера Россия (RUB)";
"19703221-0297";"19703221-0297-2";"2026-03-18 10:52:20";"2026-03-18 09:00:00";"2026-03-20 17:59:00";"Доставлен";"2026-03-23 14:29:52";"2026-03-19 11:42:57";;"383.00";"RUB";"Фильтр топливный (PM999/6 FILTRON)";;;"598246686";"PM9996=FLR";"383.00";"RUB";"135.11";"RUB";"1";;;;"479.00";"20%";"96.00";"Системная виртуальная скидка селлера Россия (RUB)";
"0127246830-0419";"0127246830-0419-1";"2026-03-18 10:54:52";"2026-03-18 09:00:00";"2026-03-23 16:59:00";"Отменён";;;"2026-03-31 06:04:25";"154.00";"RUB";"Крепежный зажим тормозного шланга FEBI 19522";;;"613745140";"19522=FEB";"154.00";"RUB";"112.38";"RUB";"1";;;;"192.00";"20%";"38.00";"Системная виртуальная скидка селлера Россия (RUB)";
"71087968-2592";"71087968-2592-1";"2026-03-18 12:31:42";"2026-03-18 09:00:00";"2026-03-20 17:59:00";"Доставлен";"2026-03-22 17:35:53";"2026-03-19 11:42:53";;"222.00";"RUB";"Пробка Поддона M22X150 22 Doblo AS200274 ASLYX";;;"2963700348";"AS200274=ASL";"222.00";"RUB";"171.56";"RUB";"1";;;;"278.00";"20%";"56.00";"Системная виртуальная скидка селлера Россия (RUB)";
"0104155256-0066";"0104155256-0066-2";"2026-03-18 12:52:13";"2026-03-18 09:00:00";"2026-03-23 16:59:00";"Отменён";;"2026-03-23 14:34:57";"2026-03-29 10:39:26";"474.00";"RUB";"Хомут зажимный /7,0 x 0,8 mm./ диапазон 40 - 110 mm. (сталь) FEBI 29823";;;"614993409";"29823=FEB";"474.00";"RUB";"173.13";"RUB";"1";;;;"592.00";"20%";"118.00";"Системная виртуальная скидка селлера Россия (RUB)";
"0124085929-0447";"0124085929-0447-1";"2026-03-18 13:12:51";"2026-03-18 09:00:00";"2026-03-20 17:59:00";"Доставлен";"2026-03-30 12:50:48";"2026-03-19 11:42:48";;"203.00";"RUB";"Резинка Глушителя Ren Laguna I/Safrane I AS200950 ASLYX";;;"2964200143";"AS200950=ASL";"203.00";"RUB";"158.10";"RUB";"1";;;;"254.00";"20%";"51.00";"Системная виртуальная скидка селлера Россия (RUB)";
"0247291311-0004";"0247291311-0004-1";"2026-03-18 13:54:35";"2026-04-16 20:00:00";"2026-04-16 20:00:00";"Ожидает отгрузки";;;;"256.00";"RUB";"Прокладка, вентиляция картера Nty GPPAU052";;;"2940030222";"GPPAU052=NTY";"256.00";"RUB";"162.00";"RUB";"1";"0.00";;;"320.00";"20%";"64.00";"Системная виртуальная скидка селлера Россия (RUB)";
"37700546-0302";"37700546-0302-1";"2026-03-18 14:13:19";"2026-03-18 15:00:00";"2026-03-19 17:59:00";"Отменён";;;"2026-03-20 12:58:58";"440.00";"RUB";"Клипса крепежная Toyota 90189-06151 10 шт";;;"595625047";"9018906151=TYT[10]";"440.00";"RUB";"172.38";"RUB";"1";;;;"440.00";"0%";"0.00";;
"0129094022-0074";"0129094022-0074-1";"2026-03-18 14:22:31";"2026-03-18 09:00:00";"2026-03-20 17:59:00";"Доставлен";"2026-03-22 16:00:57";"2026-03-19 11:42:58";;"1395.00";"RUB";"Маятник Селектора Кпп Seat-Vw 1.9Tdi 93-04 AS201767 ASLYX";;;"2963851229";"AS201767=ASL";"1395.00";"RUB";"806.67";"RUB";"1";;;;"1744.00";"20%";"349.00";"Системная виртуальная скидка селлера Россия (RUB)";
"45215601-0348";"45215601-0348-1";"2026-03-18 14:45:55";"2026-03-18 09:00:00";"2026-03-20 17:59:00";"Доставлен";"2026-03-27 14:44:47";"2026-03-20 18:27:27";;"3281.00";"RUB";"Подушка двигателя Nty ZPSTY043";;;"3058163813";"ZPSTY043=NTY";"3281.00";"RUB";"2091.43";"RUB";"1";;;;"4101.00";"20%";"820.00";"Системная виртуальная скидка селлера Россия (RUB)";
"09460659-0186";"09460659-0186-1";"2026-03-18 14:59:57";"2026-03-18 09:00:00";"2026-03-20 16:59:00";"Доставлен";"2026-03-23 16:15:34";"2026-03-19 15:29:12";;"2141.00";"RUB";"Воздушный фильтр TSN 91128";;;"598270681";"91128=TSN";"2141.00";"RUB";"1172.19";"RUB";"1";;;;"2676.00";"20%";"535.00";"Системная виртуальная скидка селлера Россия (RUB)";
"0193089208-0159";"0193089208-0159-1";"2026-03-18 15:03:36";"2026-04-17 20:00:00";"2026-04-17 20:00:00";"Ожидает сборки";;;;"2826.00";"RUB";"6229MC Ремень клиновой GATES 6229MC";;;"610966375";"6229MC=GTS";"1413.00";"RUB";"1074.00";"RUB";"2";"0.00";;;"1766.00";"20%";"706.00";"Системная виртуальная скидка селлера Россия (RUB)";"Включен в стоимость доставки"
"0167371856-0040";"0167371856-0040-1";"2026-03-18 15:46:20";"2026-03-18 09:00:00";"2026-03-20 17:59:00";"Доставлен";"2026-03-25 13:51:09";"2026-03-20 18:27:05";;"342.00";"RUB";"Лампа накаливания LYNXauto L14621";;;"2920885095";"L14621=LNX";"171.00";"RUB";"124.76";"RUB";"2";;;;"214.00";"20%";"86.00";"Системная виртуальная скидка селлера Россия (RUB)";
"51624322-0386";"51624322-0386-3";"2026-03-18 15:48:54";"2026-03-18 09:00:00";"2026-03-20 17:59:00";"Доставлен";"2026-03-26 08:08:05";"2026-03-20 11:00:04";;"11036.00";"RUB";"Амортизатор 350388 SACHS";;;"2402131396";"350388=SHS";"5518.00";"RUB";"3282.32";"RUB";"2";;;;"6898.00";"20%";"2760.00";"Системная виртуальная скидка селлера Россия (RUB)";
"22827367-0785";"22827367-0785-1";"2026-03-18 17:57:04";"2026-03-18 09:00:00";"2026-03-20 16:59:00";"Доставлен";"2026-03-28 12:12:17";"2026-03-23 09:53:37";;"272.00";"RUB";"Nissan 01553-09241 Клипса крепежная";;;"599183321";"0155309241=NIS[10]";"272.00";"RUB";"199.62";"RUB";"1";;;;"340.00";"20%";"68.00";"Системная виртуальная скидка селлера Россия (RUB)";
"0193181273-0337";"0193181273-0337-1";"2026-03-18 18:14:11";"2026-03-18 09:00:00";"2026-03-23 16:59:00";"Отменён";;;"2026-03-18 18:44:13";"2308.00";"RUB";"Болт крепления ступицы FEBI 26511";;;"613771317";"26511=FEB";"577.00";"RUB";"318.44";"RUB";"4";;;;"721.00";"20%";"576.00";"Системная виртуальная скидка селлера Россия (RUB)";
"07211987-0340";"07211987-0340-1";"2026-03-18 18:44:28";"2026-04-17 20:00:00";"2026-04-17 20:00:00";"Ожидает сборки";;;;"25433.00";"RUB";"Крепление двигатель 4280301 LEMFORDER";;;"2641483830";"4280301=LMF";"25433.00";"RUB";"15121.00";"RUB";"1";"0.00";;;"32126.00";"21%";"6693.00";"Системная виртуальная скидка селлера Россия (RUB)";
"07211987-0340";"07211987-0340-1";"2026-03-18 18:44:28";"2026-04-17 20:00:00";"2026-04-17 20:00:00";"Ожидает сборки";;;;"25725.00";"RUB";"Крепление двигатель 4280201 LEMFORDER";;;"2641483190";"4280201=LMF";"25725.00";"RUB";"15294.00";"RUB";"1";"0.00";;;"32495.00";"21%";"6770.00";"Системная виртуальная скидка селлера Россия (RUB)";
"90336283-0156";"90336283-0156-1";"2026-03-18 18:46:29";"2026-03-18 09:00:00";"2026-03-20 17:59:00";"Доставлен";"2026-03-24 17:11:46";"2026-03-20 18:27:01";;"4398.00";"RUB";"Отбойник для амортизатора 23610 FEBI";;;"1596761784";"23610=FEB";"2199.00";"RUB";"1447.62";"RUB";"2";;;;"2749.00";"20%";"1100.00";"Системная виртуальная скидка селлера Россия (RUB)";
"30793449-0349";"30793449-0349-6";"2026-03-18 19:22:33";"2026-03-18 15:00:00";"2026-03-19 17:59:00";"Доставлен";"2026-03-22 11:11:35";"2026-03-19 09:56:17";;"15832.00";"RUB";"G1137 Амортизатор - Original зад прав/лев DACIA Logan/Logan MCV, LADA (AvtoVAZ) Largus, RENAULT MCV (G1137 Monroe)";;;"653748431";"G1137=MNR";"7916.00";"RUB";"4689.52";"RUB";"2";;;;"9895.00";"20%";"3958.00";"Системная виртуальная скидка селлера Россия (RUB)";
"0180032983-0021";"0180032983-0021-1";"2026-03-18 19:37:02";"2026-03-18 09:00:00";"2026-03-20 16:59:00";"Доставлен";"2026-03-29 11:21:11";"2026-03-20 12:36:14";;"1332.00";"RUB";"Рукав воздухозаборника, воздушный фильтр Nty GPPBM006";;;"2940030954";"GPPBM006=NTY";"1332.00";"RUB";"718.10";"RUB";"1";;;;"1665.00";"20%";"333.00";"Системная виртуальная скидка селлера Россия (RUB)";
"55133076-0415";"55133076-0415-1";"2026-03-18 19:57:41";"2026-03-18 15:00:00";"2026-03-20 16:59:00";"Доставлен";"2026-03-25 07:34:17";"2026-03-23 08:55:45";;"153.00";"RUB";"LYNXauto L14221 Лампа накаливания";"прозрачный";;"2920884383";"L14221=LNX";"153.00";"RUB";"1.00";"RUB";"1";;;;"191.00";"20%";"38.00";"Системная виртуальная скидка селлера Россия (RUB)";
"71838343-0137";"71838343-0137-1";"2026-03-18 20:11:37";"2026-03-18 15:00:00";"2026-03-24 17:59:00";"Ожидает в ПВЗ";;"2026-03-24 10:03:15";;"575.00";"RUB";"FEBI 4947 Колпачок ступицы";"светло-серый";;"653821183";"04947=FEB";"575.00";"RUB";"13.20";"BYN";"1";;;"Подлежит выкупу";"1024.65";"44%";"449.65";"Системная виртуальная скидка селлера Россия (RUB)";
"12517110-0208";"12517110-0208-3";"2026-03-18 20:13:01";"2026-03-18 09:00:00";"2026-03-20 16:59:00";"Отменён";;;"2026-03-19 05:26:37";"6016.00";"RUB";"TRW Колодки тормозные дисковые GDB3392";;;"618612738";"GDB3392=TRW";"6016.00";"RUB";"3722.43";"RUB";"1";;;;"7638.00";"21%";"1622.00";"Системная виртуальная скидка селлера Россия (RUB)";
"73483253-0131";"73483253-0131-1";"2026-03-18 20:25:04";"2026-03-18 09:00:00";"2026-03-20 16:59:00";"Доставлен";"2026-03-26 17:00:27";"2026-03-23 08:47:27";;"1332.00";"RUB";"Рукав воздухозаборника, воздушный фильтр Nty GPPBM006";;;"2940030954";"GPPBM006=NTY";"1332.00";"RUB";"699.62";"RUB";"1";;;;"1665.00";"20%";"333.00";"Системная виртуальная скидка селлера Россия (RUB)";
"0103236933-0126";"0103236933-0126-1";"2026-03-18 20:55:32";"2026-03-18 15:00:00";"2026-03-24 17:59:00";"Доставлен";"2026-03-29 10:52:30";"2026-03-24 10:02:55";;"485.00";"RUB";"DONGIL AVX13X1050LA Ремень клиновой";"черный матовый";;"1639803197";"AVX13X1050LA=DNG";"485.00";"RUB";"184.83";"RUB";"1";;;;"894.00";"46%";"409.00";"Системная виртуальная скидка селлера Россия (RUB)";
"30518985-0376";"30518985-0376-1";"2026-03-19 00:41:30";"2026-03-25 20:00:00";"2026-03-25 20:00:00";"Ожидает отгрузки";;;;"193.00";"RUB";"Шток Вилки Кпп Vw Golf Ii 5 Ступ Мкпп Seat Ibiza-Ii / Seat Inca / Vw Caddy-Ii AS200374 ASLYX";;;"2963699718";"AS200374=ASL";"193.00";"RUB";"123.00";"RUB";"1";"0.00";;;"241.00";"20%";"48.00";"Системная виртуальная скидка селлера Россия (RUB)";"Включен в стоимость доставки"
"0157037907-0095";"0157037907-0095-1";"2026-03-19 03:48:38";"2026-04-17 20:00:00";"2026-04-17 20:00:00";"Отменён";;;"2026-03-19 04:47:40";"9334.00";"RUB";"Тяга/соединительная тяга стабилизатора поперечной 3839301 LEMFORDER";;;"2632816304";"3839301=LMF";"9334.00";"RUB";"6055.00";"RUB";"1";;;;"11668.00";"20%";"2334.00";"Системная виртуальная скидка селлера Россия (RUB)";
"28206563-0327";"28206563-0327-1";"2026-03-19 07:15:48";"2026-03-19 09:00:00";"2026-03-23 17:59:00";"Доставлен";"2026-03-25 13:34:11";"2026-03-20 18:27:48";;"2798.00";"RUB";"Набор комплектующих для тормозных колодок ADT348603 BLUE PRINT";;;"1777692915";"ADT348603=BLP";"1399.00";"RUB";"799.43";"RUB";"2";;;;"1749.00";"20%";"700.00";"Системная виртуальная скидка селлера Россия (RUB)";
"86741066-0172";"86741066-0172-1";"2026-03-19 07:25:05";"2026-03-19 09:00:00";"2026-03-24 16:59:00";"Отменён";;;"2026-03-19 07:26:11";"706.00";"RUB";"Болт крепления колеса /M12 x 1,5 x 53 mm./ FEBI 27756";;;"612181140";"27756=FEB";"706.00";"RUB";"412.49";"RUB";"1";;;;"882.00";"20%";"176.00";"Системная виртуальная скидка селлера Россия (RUB)";
"86741066-0173";"86741066-0173-1";"2026-03-19 07:27:31";"2026-03-19 09:00:00";"2026-03-24 16:59:00";"Отменён";;;"2026-03-29 05:38:00";"2824.00";"RUB";"Болт крепления колеса /M12 x 1,5 x 53 mm./ FEBI 27756";;;"612181140";"27756=FEB";"706.00";"RUB";"412.49";"RUB";"4";;;;"882.00";"20%";"704.00";"Системная виртуальная скидка селлера Россия (RUB)";
"0119212044-0308";"0119212044-0308-4";"2026-03-19 08:12:00";"2026-03-19 09:00:00";"2026-03-23 16:59:00";"Доставлен";"2026-03-24 07:59:10";"2026-03-20 11:53:53";;"4934.00";"RUB";"612930500 Прокладка Гбц";;;"653915731";"612930500=VRZ";"4934.00";"RUB";"2829.52";"RUB";"1";;;;"6168.00";"20%";"1234.00";"Системная виртуальная скидка селлера Россия (RUB)";
"97412891-0055";"97412891-0055-1";"2026-03-19 09:33:18";"2026-03-19 08:00:00";"2026-03-25 15:59:00";"Доставлен";"2026-03-27 16:59:40";"2026-03-23 05:31:15";;"4993.00";"RUB";"Рычаг подвески 3602101 LEMFORDER";;;"653966192";"3602101=LMF";"4993.00";"RUB";"3491.00";"RUB";"1";;;;"6241.00";"20%";"1248.00";"Системная виртуальная скидка селлера Россия (RUB)";
"64391124-0241";"64391124-0241-2";"2026-03-19 10:00:28";"2026-03-19 08:00:00";"2026-03-24 15:59:00";"Доставлен";"2026-03-27 14:05:32";"2026-03-24 07:03:59";;"4111.00";"RUB";"Наконечник рулевой тяги JTE1214 TRW";;;"653884687";"JTE1214=TRW";"4111.00";"RUB";"2416.75";"RUB";"1";;;;"5139.00";"20%";"1028.00";"Системная виртуальная скидка селлера Россия (RUB)";
"57802210-0087";"57802210-0087-1";"2026-03-19 10:28:56";"2026-03-19 09:00:00";"2026-03-23 17:59:00";"Доставлен";"2026-03-26 09:07:03";"2026-03-20 18:26:36";;"13128.00";"RUB";"ATE 13.0460-7299.2 Комплект дисковых тормозных колодок";;;"3116446337";"13046072992=ATE";"13128.00";"RUB";"7295.00";"RUB";"1";;;;"16582.00";"21%";"3454.00";"Системная виртуальная скидка селлера Россия (RUB)";
"0152351765-0022";"0152351765-0022-1";"2026-03-19 10:33:10";"2026-03-19 09:00:00";"2026-03-23 17:59:00";"Доставлен";"2026-03-24 16:13:36";"2026-03-20 18:27:37";;"570.00";"RUB";"Крепление Декор. Крышки Мотора (1Болт+1Крышка) Cit C5/Berlingo/Peugeot 206/307/6 AS202015 ASLYX";;;"2963850879";"AS202015=ASL";"285.00";"RUB";"10.13";"BYN";"2";;;"Подлежит выкупу";"355.76";"20%";"141.52";"Системная виртуальная скидка селлера Россия (RUB)";
"86984786-0392";"86984786-0392-1";"2026-03-19 10:55:11";"2026-04-17 20:00:00";"2026-04-17 20:00:00";"Ожидает сборки";;;;"116.00";"RUB";"Колпачок вакуумопровода";;;"653830472";"00016=MTC";"116.00";"RUB";"80.00";"RUB";"1";"0.00";;;"145.00";"20%";"29.00";"Системная виртуальная скидка селлера Россия (RUB)";
"0215398447-0033";"0215398447-0033-2";"2026-03-19 13:25:36";"2026-03-19 09:00:00";"2026-03-23 17:59:00";"Доставлен";"2026-03-23 17:01:31";"2026-03-20 18:27:51";;"786.00";"RUB";"Резинка Глушителя Ren Clio Ii 98-/Thalia 00- AS201744 ASLYX";;;"2974793552";"AS201744=ASL";"786.00";"RUB";"444.76";"RUB";"1";;;;"982.00";"20%";"196.00";"Системная виртуальная скидка селлера Россия (RUB)";
"50388357-0254";"50388357-0254-2";"2026-03-19 13:47:42";"2026-03-19 09:00:00";"2026-03-23 16:59:00";"Доставлен";"2026-03-26 17:39:08";"2026-03-23 10:29:41";;"1198.00";"RUB";"Втулка стабилизатора 05657 FEBI";;;"655265171";"05657=FEB";"599.00";"RUB";"294.29";"RUB";"2";;;;"749.00";"20%";"300.00";"Системная виртуальная скидка селлера Россия (RUB)";
"18417198-0145";"18417198-0145-4";"2026-03-19 14:51:02";"2026-03-19 15:00:00";"2026-03-20 17:59:00";"Доставлен";"2026-03-25 07:24:00";"2026-03-19 16:35:06";;"270.00";"RUB";"Прокладка сливной пробки поддона Mitsubishi (L200) ASX,Lancer,Outlander двигателя 14*19*2 mm";;;"594978406";"MD050317=MTS[1]";"270.00";"RUB";"216.11";"RUB";"1";;;;"270.00";"0%";"0.00";;
"11368098-0498";"11368098-0498-1";"2026-03-19 15:14:24";"2026-03-19 15:00:00";"2026-03-25 17:59:00";"Отменён";;"2026-03-24 10:03:36";"2026-03-27 02:19:43";"218.00";"RUB";"AIRLINE AFUT06 Предохранители ""стеклянные цилиндрические"" (10 шт. 2-25А). Товар уцененный";"прозрачный";;"3352730556";"AFUT06";"218.00";"RUB";"159.05";"RUB";"1";;;;"302.00";"28%";"84.00";"Системная виртуальная скидка селлера Россия (RUB)";
"32563905-0072";"32563905-0072-1";"2026-03-19 17:28:43";"2026-03-19 09:00:00";"2026-03-23 16:59:00";"Доставлен";"2026-03-29 13:47:19";"2026-03-23 08:47:29";;"1439.00";"RUB";"Патрубок вентиляции картерных газов Nty GPPVW009";;;"3044714305";"GPPVW009=NTY";"1439.00";"RUB";"828.57";"RUB";"1";;;;"1799.00";"20%";"360.00";"Системная виртуальная скидка селлера Россия (RUB)";
"0127069021-0167";"0127069021-0167-1";"2026-03-19 17:32:14";"2026-03-23 20:00:00";"2026-03-23 20:00:00";"Доставлен";"2026-03-27 14:47:33";"2026-03-25 09:37:07";;"3429.00";"RUB";"Щетки стеклоочистителя каркасная BOSCH Twin SP 532S, 530/500 мм, 3397118404";"черный";;"1067073547";"3397118404=BSH";"3429.00";"RUB";"2233.00";"RUB";"1";;;;"4286.00";"20%";"857.00";"Системная виртуальная скидка селлера Россия (RUB)";
"05266611-0063";"05266611-0063-1";"2026-03-19 18:17:33";"2026-03-19 09:00:00";"2026-03-23 17:59:00";"Доставлен";"2026-03-29 07:51:50";"2026-03-20 18:31:16";;"37451.00";"RUB";"Подрамник NTY ZRZNS003";;;"3066204402";"ZRZNS003=NTY";"37451.00";"RUB";"20795.00";"RUB";"1";;;;"46814.00";"20%";"9363.00";"Системная виртуальная скидка селлера Россия (RUB)";
